sample	group
CD_1	CD
CD_10	CD
CD_11	CD
CD_12	CD
CD_13	CD
CD_14	CD
CD_15	CD
CD_16	CD
CD_17	CD
CD_18	CD
CD_19	CD
CD_2	CD
CD_20	CD
CD_21	CD
CD_22	CD
CD_23	CD
CD_24	CD
CD_25	CD
CD_26	CD
CD_27	CD
CD_28	CD
CD_29	CD
CD_3	CD
CD_30	CD
CD_31	CD
CD_32	CD
CD_4	CD
CD_5	CD
CD_6	CD
CD_7	CD
CD_8	CD
CD_9	CD
CT_1	Control
CT_10	Control
CT_11	Control
CT_12	Control
CT_13	Control
CT_14	Control
CT_15	Control
CT_16	Control
CT_17	Control
CT_18	Control
CT_19	Control
CT_2	Control
CT_20	Control
CT_21	Control
CT_22	Control
CT_23	Control
CT_24	Control
CT_25	Control
CT_26	Control
CT_27	Control
CT_28	Control
CT_3	Control
CT_4	Control
CT_5	Control
CT_6	Control
CT_7	Control
CT_8	Control
CT_9	Control
