name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
g__WWE3	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Weissella	170	4	10	0	4	0	2143	0	3	215	10	9	5	8	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	18	8	13	21	16	22	10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	37	9	16	6	11	0
g__Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	348	220	156	188	93	165	385	185	295	215	177	65	0	0	0	0	0	0
g__Veillonella	6094	11	47	382	21	51	1350	13	21	173	9898	45	33	44	63	40	260	0	0	73	896	178	0	102	0	0	0	0	0	29	4	21	94	24	43	312	847	51	30	119	42	20	9	55	9	4	41	8	27	141	0	16	13	272	42	8	114	38	103	37
g__Uruburuella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	10	0	2	2	0	13	4	8	5	2	0	0	0	0	0	0	0
g__UCG-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__UCG-009	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__UCG-005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	79	0	0	0	0	0	0	37	0	0	0	2	0	0	26	0	0	0	6	38	152	0	4	0	1	0	0	0	10	15	3	0	0	0	32	1	0	0	4	0	0	3
g__UCG-003	0	23	21	0	0	38	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	130	29	0	0	0	0	0	13	2	0	0	9	97	250	2	26	0	1	0	0	3	5	143	25	1	4	0	18	0	0	0	0	0	0	42
g__UCG-002	0	10	34	2	0	13	0	0	0	0	0	0	5	0	5	25	11	69	8	33	17	13	18	0	0	701	17	30	21	0	0	8	218	0	13	5	0	583	1585	4	474	4	0	0	0	0	79	24	16	0	0	0	5	0	3	0	18	2	0	0
