name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
d20cef13f830c5dafdc08346847c4bb1	25860	17562	6568	7972	5721	203	2912	7485	30565	2727	8453	3139	6263	252	3800	101	156	175	227	588	2958	439	877	87	47	402	210	88	4923	52	20713	196	8523	1526	576	664	5673	329	243	313	1730	324	1185	2952	1512	8288	265	918	1348	4349	10122	1203	389	97	6220	4106	2858	10896	4345	166
4ec4a134e420937ba0579397330858dd	151	400	1717	222	239	1181	149	848	584	230	245	378	3013	244	438	8055	2038	4358	4996	1637	1612	8277	3845	5687	3054	1657	2925	11885	3203	1722	14688	2277	2517	7751	5570	1895	3623	1928	762	1673	2970	510	26	329	103	40	532	174	1335	393	161	269	131	98	2682	934	1337	147	2311	1468
850efecf8b82404f77dd71cabf501ccd	0	31	22	0	73	3664	0	10961	0	0	0	113	18	0	1012	187	637	185	38	407	923	3733	32	147	0	503	2634	291	280	297	260	14663	319	982	3814	107	1209	383	0	197	1362	15904	37	663	2268	915	1481	3239	3582	287	1398	2305	8259	1660	315	330	648	14	50	425
9351d2b2b9ae71aa548a06f48c58b07d	0	137	423	0	235	7011	0	9363	0	4	59	303	0	0	408	0	275	358	0	151	361	485	0	226	0	0	1468	0	0	872	184	3300	335	117	10777	77	524	1123	196	1280	514	1420	0	416	2028	2847	2084	1302	337	150	1809	534	11119	1456	11361	15278	341	89	152	371
2e2aa7397d3da6ad602eac5d2791a23f	85	3952	369	6721	6672	481	79	945	468	113	12863	121	15785	124	923	192	94	117	1728	187	2677	893	252	477	1238	211	677	2490	1668	83	5102	1578	353	565	1504	255	2038	257	267	213	274	91	22	304	173	891	42	95	1002	52	247	453	83	207	431	771	272	166	1446	182
f85b471cb1d6cf5d87dca5b0e240a190	249	82	1071	66	20	168	28145	42	139	380	594	53	1285	106	80	89	2955	18660	159	113	75	106	1272	1597	506	87	45	1277	120	54	96	55	137	311	55	17751	657	158	95	121	60	14	9	6	21	9	184	12	45	443	4	4	9	12	180	39	40	102	159	54
56457fa441816b9bf193cd15243328c4	44	11	0	0	0	0	0	0	14	26	12	1633	14	23	26	42	10516	3674	35	619	7065	100	175	44	31984	39	229	34	38	283	28	30	2970	8187	369	418	1184	0	47	0	14	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	15	0	0
7d7a158793ff4026f4680188b3c40d80	100	68	130	122	28	67	68	34	78	331	841	50	76	44054	106	323	233	804	207	291	102	160	133	275	82	259	130	291	227	115	108	101	90	85	57	138	125	90	93	60	86	0	0	0	0	0	0	0	0	0	0	0	0	189	434	61	125	551	92	74
05b60309d434c38aed84b0aa8c8cb233	0	1417	50	0	25385	249	0	472	0	0	0	386	0	0	0	0	0	0	0	0	1486	0	0	0	0	0	181	0	0	0	0	0	85	27	633	22	243	188	132	257	155	344	0	385	793	145	518	1181	150	124	1239	188	682	6487	208	93	476	4734	159	135
916e51deaef9fefcf57f749d87150946	212	80	215	13	17	32	19	0	15	27	33	34	31	37	49	5517	1987	1036	3613	382	55	38	67	7829	28	204	104	70	330	71	0	34	4244	431	1476	67	1396	611	111	3464	3991	930	36	56	272	58	1344	3220	260	249	342	376	575	4650	190	761	857	23	25	2131
ce2ba01e0f9aeeffab894fa6835172c9	0	39	791	0	45	1511	0	66	3	5	18	61	70	0	34	0	26	0	17	269	20	0	0	0	0	734	462	0	0	0	0	0	31	12	30	0	13	26	20	5956	882	400	9	327	921	148	9259	8925	173	198	390	193	968	577	73	26	43	18	382	384
b0bca208e15ebf1c2fffcdc93a21a23b	13	166	157	14	20	2330	15	0	39	30	41	29	28	32	41	2760	38	474	79	229	21	27	41	2237	0	141	1351	25	58	20	18	32	4508	548	257	46	221	1269	1558	2363	4974	632	61	88	232	66	2120	2356	297	101	367	621	2070	7982	292	988	763	32	21	3243
6b845eb8e60b2cfc7176e86597c17842	49	285	344	27	25	212	28	35	94	84	52	40	44	63	0	279	827	63	578	421	133	239	0	448	0	83	1347	213	31	448	0	0	877	786	2859	388	410	378	689	4027	2204	279	48	68	470	72	493	1844	270	394	282	8285	1135	499	628	2290	852	58	68	2142
05559ce8be868ee1206bc61dae2d21f2	12	3	12	0	5	0	18	34	0	14	12	164	8	0	0	47	1106	511	39	254	534	3037	7879	19	2575	19	22	23	60	387	0	0	71	107	38	102	44	29	17	0	7	302	33	54	106	37	38	54	93	10251	43	127	61	30	154	0	51	5	166	155
ac14f9aad13a287272b0bf0a0310d57b	0	139	0	0	22	0	0	0	0	0	0	22	0	0	22652	0	1539	269	0	50	10839	153	0	69	0	181	824	0	86	204	0	696	0	0	0	0	17	0	0	2883	0	77	0	37	90	0	352	762	0	0	70	39	161	69	0	0	41	0	1404	0
206aea43b8ca71e38ba6f36e971af131	0	265	0	0	4822	490	0	1735	5	0	3484	134	24	0	7711	13	125	67	0	30	943	23	77	0	10	75	912	0	11	64	7	141	37	0	56	0	0	68	0	85	47	396	15	426	1324	157	605	660	204	152	1626	198	632	8392	92	46	478	931	46	65
86db449f70d49f647286434fcf09b67c	14	26	26	9	6	30	27	0	0	8	17	0	15	14	41	145	76	147	530	295	34	139	25607	262	120	1336	72	84	85	0	40	81	126	4836	29	16	30	0	0	186	0	4	0	0	0	0	0	21	0	0	0	0	0	0	25	13	22	0	14	28
a243024683a23ca15e79735dd4e96da5	36	26	30	18	9	19	31	40	23	44	49	21	27	24	0	4360	25	57	17	59	5	7	16	84	0	16	0	14	8	33	0	0	41	38	18	32	47	686	40	19	19	199	64	107	128	76	11750	143	311	100	74	103	118	95	42	15	44	21	31	2405
216792868a051f57828906e825e38c99	0	0	0	0	0	5007	0	0	504	0	0	0	0	0	2	0	4	4	0	0	5	48	0	0	0	7	0	0	8	20	270	7838	0	0	0	0	774	0	0	118	158	43	26	389	54	1929	47	42	118	45	35	10567	38	41	0	0	16	16	0	0
bb02ecd5bd5b5688d05dd6172b4d43f6	0	1210	31	0	110	189	0	931	0	0	20	5268	7	0	54	31	53	0	0	3	206	52	0	0	0	46	107	0	0	22	0	171	100	0	61	0	0	276	45	91	123	500	6	8548	1230	681	660	819	215	187	519	234	1339	968	33	27	93	18	350	63
7458e73fea5caed1bd282679edba3eea	0	0	0	3	0	76	0	0	15	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	108	51	714	127	16676	52	87	190	52	69	2227	91	61	2	0	6	1648	0	0
3dd096ee3e0a9afb96c526b05b043239	1596	74	1455	407	26	18	3720	932	201	82	61	19	149	32	54	22	18	135	19	95	60	65	26	39	13	62	0	12	70	20	171	31	141	30	61	193	1041	27	31	26	117	38	8583	67	43	130	33	64	88	119	189	51	123	0	108	35	59	35	25	35
1a21720b484d01faeeec3daa96ef6e39	649	43	130	386	8	0	1951	679	82	45	30	11	409	0	29	0	0	159	0	0	33	0	0	0	0	0	0	0	40	0	60	0	32	0	40	275	654	0	0	0	39	83	10476	100	110	136	45	81	162	189	225	82	102	43	82	8	41	26	15	0
d019327cb0f884c1965129c0531dc6c6	445	33	335	0	0	0	0	96	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	56	12023	121	65	176	46	107	168	187	280	97	119	53	68	0	0	0	0	0
4803a5b9dd6478e784ac469f6eb5a5c5	0	0	0	0	0	1350	0	1364	0	0	0	0	0	0	263	0	0	0	0	0	200	556	0	0	0	0	3281	0	0	1071	0	3705	97	259	0	0	0	124	0	0	309	768	0	206	1079	178	1123	3460	234	66	734	2815	1891	601	0	0	265	0	0	183
6c3625df0fa5b45cdfca8e5d1912b010	11	9818	2216	11	0	37	20	0	461	21	22	15	28	22	42	319	232	394	1269	9767	61	144	83	259	27	1635	154	78	127	35	21	24	953	1695	47	38	420	76	181	539	467	368	12	27	35	26	201	698	595	29	489	108	228	120	47	40	247	15	25	254
8580ff99c4fb9b81c26be6315826e8f9	35	45	40	20	20	22	166	21	49	29211	61	34	22	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	40	26	101	73	55	39	28	41	0	0	0	0	0	0	0	0	0	0	0	0	12	49	16	36	58	40	28
99346b94923813c9d77cf3d2c1823345	19	99	143	14	26	357	23	26	36	42	37	37	58	63	0	333	33	0	96	2335	0	14	25	647	0	426	280	0	0	0	0	0	939	380	170	582	163	240	575	1664	1454	210	19	39	974	32	715	2362	241	29	117	233	1079	322	1313	7333	1078	35	41	829
16579865380f4c8760057fd859c956dd	0	0	0	22513	5	0	5	0	80	0	25	0	171	6	0	6	6	8	3	15	11	5	8	0	0	151	5	5	0	7	0	0	5	0	0	0	0	1865	11	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	173	0
