name	domain	phylum	class	order	family	genus	species
f749d4c31e80db2f406f098c37b46127	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__
1fdb0235f65aca75e5cfdb72b6923152	d__Bacteria	p__Patescibacteria	c__WWE3	o__WWE3	f__WWE3	g__WWE3	s__uncultured_anaerobic
cceb08f2d69b571883a30bf6bc7ecb58	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_fluvialis
b14b10f5ee170b2927435ba86e253def	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_fluvialis
44b022d521670ce47630674776e8d9d8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_diazotrophicus
544d816ea05a6559f0166de93b31636c	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__
53778f58653fac35e1400ae3d4df020e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__
3f534cf5008342c290aac543bb529f7a	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__
695232d7223c5b9560da16cd1cd85163	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__
16579865380f4c8760057fd859c956dd	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia_muciniphila
080f9f869ade405be1cbde15b3085d33	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__
fdd11653f20aaead3ae56b2a43898b00	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__Veillonella_parvula
7542deb997b73fc24ef5c95b31912d07	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__Veillonella_atypica
111dbb3179fc2f559d7152dc73ff18a3	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__Veillonella_atypica
3a8a781531ac0362a1954b72b14f7e03	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
f6618d7d0a0d1d407ebe0f577a0c5f26	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
906727df1216c58000d4a85e71d03295	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
c3f7d62f4fe9a5ab9dbf84b5c1f51969	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
bd0f6463079c8e7fd19b0b945c08a4de	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
3ef410a966bf31c5da970b81ff203d10	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
e9f81882594eda8b5b214577f61d929d	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
accf63c7a7c00a05d17c51477a0002a2	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
bf141dd06d02f7221fa084da75780041	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
4327030f35ef96100ef0657732bc5ff1	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
15a3398dd944d5baddb990ff3ae4dbf0	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
15b9a8bd831d3087d17cf1fd2f903eee	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
8017667b1a071d4ff0cfbb77f96727e3	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
8ba50b99cbd4169c8fca9a477b2e0b10	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
36bd0604ae701e710e09401ced8245a2	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Veillonella	s__
6ad57fc1451039e684ceb2fbcc0486fb	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__uncultured_bacterium
15084c245553f597df3caf30b60297fb	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__uncultured_bacterium
409aa53ec932dcf9b015022acba74c96	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_micronuciformis
181ffd0e921e392562af06a5cc4f01d1	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_micronuciformis
44b7c37c46deb55c574a2e57fb61a445	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_micronuciformis
c40d49e1480dff8ff6f5b4ee2e6a5ceb	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_micronuciformis
7da88bb92c02e4b6f008759e196cf9df	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_elsdenii
b7a0066c08e01e788fcb4d606ba3d860	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_elsdenii
303e42d8ecf7e0edc180d9c2f84fa1fd	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_elsdenii
6bf9bbb3ea79013d5fc8e4259f48c9f9	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__
82e36ef78dbfe5b81f9386cca1713dcc	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__
f490c81b34040d0fe3c3c5736d3d0f9d	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Megasphaera	s__
572db3672216c7b7ebf7a5653f1dc5f3	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister	s__uncultured_organism
37df14515a0627f355f72e3d3c18e40a	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Dialister	s__uncultured_bacterium
