cpd_id	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
CAS006868-73-1	0.085344311	0.071976623	0.057584731	0.1010702	0.045557198	0.1103998	0.057682192	0.06074215
CAS10325-79-8	0.000476596	0.00025974	0.000341753	0.0001974	0.000401751	0.0002058	0.00040137	0.000131874
CAS1053-37-8	0.000180019	0.000188312	0.000176814	0.0001204	0.000159339	0.0001652	0.000147945	0.000195814
CAS1499-46-3	0.259051804	0.281479221	0.184108577	0.2422322	0.239498054	0.2202844	0.220838356	0.288062988
CAS15173-54-3	0.000167068	0.000141558	0.00013459	0.0001596	0.000138911	0.0001428	0.000146575	0.000151855
CAS23945-44-0	0.064585199	0.057176623	0.049122714	0.0659008	0.041664981	0.0577262	0.040606849	0.046282588
CAS24404-83-9	0.000843108	0.001227273	0.001126861	0.0016954	0.001252918	0.0004984	0.001231507	0.000648716
CAS2812-32-0	0.062295467	0.159449351	0.076209614	0.0355726	0.067638521	0.085498	1.86E-06	0.100873264
CAS2955-27-3	0.056506383	0.017364935	0.007176814	0.0220598	0.013821595	0.001064	0.02810274	0.014951094
CAS4271-30-1	0.41613543	0.501612987	0.270795099	0.3982342	0.388182685	0.28084	0.330010959	0.343566127
CAS4651-67-6	0.011429232	0.000675325	0.000287653	0.0021546	1.95E-06	3.33E-06	0.000643836	0.000359657
CAS5143-55-5	0.13639445	0.185605195	0.233864656	0.1233736	0.132788911	0.1151542	0.113123288	0.095016175
CAS547-75-1	0.059955227	0.022572727	0.021715174	0.0540428	0.012757977	0.0060494	0.042769863	0.044717412
CAS60696-62-0	0.014826272	0.012515584	0.003668238	0.006958	0.005484241	0.0041342	0.00450137	0.004471741
CAS83-44-3	0.099907678	0.019516883	0.023431857	0.0564508	1.05E-06	0.0021238	0.027609589	0.035953758
CAS859-97-2	0.015021832	0.003537662	4.16E-06	0.0051016	2.68E-06	0.002268	4.71E-06	0.003655186
HM4000001	0.00092988	3.84E-06	0.000307446	4.91E-06	0.000148444	1.17E-06	0.000003384	0.000285062
HM4000006	0.002468455	0.002428571	0.001637512	0.00217	0.001597471	0.0016058	0.001753425	0.001922169
HM4000007	0.000187789	1.93E-06	4.90E-06	0.0001568	4.27E-06	4.88E-06	0.000132877	4.95E-06
HM4000010	0.126445513	0.077633766	0.073197172	0.056483	0.0687893	0.042973	0.084471233	0.088134729
HM4000012	0.15826087	0.168077922	0.176980584	0.1952468	0.182369066	0.1777804	0.125610959	0.17862588
HM4000018	0.03092692	0.0298	0.05586673	0.0580342	0.035134825	0.0267512	0.019187671	0.038414082
HM4000019	0.002631637	0.002220779	0.00261131	0.00266	0.002469066	0.0024206	0.00240137	0.0021353
HM4000024	0.004275116	0.003802597	0.001996418	0.0040866	0.002321984	0.0012992	0.003671233	0.003284872
HM4000032	0.000367808	0.000224675	0.000151744	0.000189	0.000175681	0.00021	0.000208219	0.000127878
HM4000033	0.000573728	0.000001971	3.77E-06	1.72E-06	0.00000291	3.19E-06	1.76E-06	2.38E-06
HM4000034	0.05753728	0.046436364	0.081694816	0.130354	0.042927432	0.042735	0.038071233	0.053477069
HM4000038	0.024283071	0.031876623	0.028551555	4.83E-06	0.023938911	0.0255234	0.021706849	0.016165937
HM4000047	0.000270675	0.000232468	0.000240151	0.0003024	0.000208366	0.00021	0.000212329	0.000241104
HM4000048	0.055930065	0.051132468	0.082952309	0.0950236	0.049032685	0.0922698	0.055364384	0.062782873
HM4000119	0.410127475	0.114538961	0.105443355	0.0706244	0.100612062	0.0288176	0.159932877	0.047610657
HM4000122	0.070353562	0.097574026	0.168443355	0.118587	0.086211673	0.1248842	0.090373973	0.042820552
HM4000124	0.012417391	0.008851948	0.012937795	0.0123844	0.006357198	0.0044268	0.008453425	0.008447954
HM4000125	0.001298982	0.000481818	0.000493497	0.0006076	0.00016751	0.0002352	0.000346575	0.000775262
HM4000130	0.001582609	2.69E-06	4.35E-06	1.12E-06	4.49E-06	4.51E-06	3.75E-06	2.25E-06
HM4000131	0.053576873	0.019402597	0.021504053	0.0232764	0.013415759	0.0084322	0.008439726	0.018226641
HM4000133	0.000349676	0.000001754	3.55E-06	0.0002562	0.0001607	3.72E-06	4.54E-06	0.000127878
HM4000137	0.011210361	1.04E-06	2.31E-06	0.0062356	4.05E-06	0.0022918	3.90E-06	0.012296289
HM4000138	0.003691027	0.002966234	0.00239623	0.0035168	0.002343774	0.0012852	0.001754795	0.002460324
HM4000141	0.001187604	0.00092987	0.001315551	0.0009198	0.000784436	0.000497	0.000939726	0.0009098
HM4000142	0.00073173	0.001102597	0.00059114	0.0011004	0.000320039	0.0001176	0.000524658	0.000704662
HM4000144	0.043019241	0.030074026	0.017083695	0.051443	0.010268482	0.0029344	0.040631507	0.035159848
HM4000146	0.055414616	0.037763636	0.016417342	0.046116	0.010946693	0.002296	0.044835616	0.025541009
HM4000152	0.02107123	0.001987013	0.001834119	0.0045906	1.19E-06	0.0003472	0.001157534	0.004423787
HM4000153	0.001410361	4.45E-06	1.34E-06	0.0005698	4.66E-06	3.73E-06	0.000283562	0.000110561
HMDB0000008	0.020901573	0.020896104	0.020732139	0.0157402	0.016435019	0.0118818	0.020413699	0.013361941
HMDB0000011	2.026648289	1.71098961	1.328985297	1.5727516	0.317341051	0.9479498	1.149324658	0.492702759
HMDB0000020	0.019057354	0.072418182	0.069922149	0.0454622	0.010309339	0.0019348	0.04420137	0.021956422
HMDB0000030	0.004289362	0.004193506	0.004296324	2.20E-06	2.01E-06	3.64E-06	2.15E-06	0.004314558
HMDB0000034	0.008902498	0.016005195	0.029328746	0.0144578	0.000604669	0.0130648	0.008057534	0.009830637
HMDB0000036	0.001020537	0.000771429	0.00045787	0.0004718	0.000934241	0.0007504	0.000705479	0.000512845
HMDB0000039	1.288682516	0.103342857	0.690843921	0.9900142	0.018161868	0.0107268	0.454620548	0.552893435
HMDB0000042	4.014643108	1.426635065	2.118202639	2.2803424	0.600399805	0.3484992	1.173216438	1.689357755
HMDB0000043	0.004680481	0.001307792	0.001748351	0.0005586	0.000795331	0.001064	0.001430137	0.001012369
HMDB0000044	0.00860333	0.006880519	0.004405844	0.0096222	0.006829767	0.0045766	0.004421918	0.010443387
HMDB0000045	1.466612026	1.40434026	0.959399811	0.9944592	1.147001751	0.8040494	0.697320548	1.107117602
HMDB0000048	0.006459944	4.33E-06	0.006043355	0.0063336	4.93E-06	0.0062496	1.20E-06	0.005557374
HMDB0000058	3.212020907	2.434019481	5.888558341	2.7438096	2.040942607	2.9970906	1.581431507	2.632511513
HMDB0000060	35.95289491	18.65127143	21.25173742	7.4091934	21.34206712	26.2947846	13.90483288	7.553646051
HMDB0000062	0.460391489	0.295019481	0.255936098	0.2593444	0.492297471	0.3000536	0.326632877	0.283595243
HMDB0000064	113.3183817	76.73723636	74.41849105	58.9314544	97.99431012	49.6149108	96.36303151	78.42460457
HMDB0000072	1.900829602	1.213461039	1.258192271	0.9119404	1.603674125	1.042608	1.126830137	1.020362892
HMDB0000082	0.130350231	0.113331169	0.069493308	0.076958	0.102521401	0.0700308	0.07869726	0.105684681
HMDB0000092	0.022640888	0.027523377	0.014292931	1.87E-06	0.035608755	2.08E-06	0.02669589	0.036782303
HMDB0000094	1.413426272	0.837616883	0.877979453	0.6006994	1.141798054	0.7618744	0.858867123	0.671992008
HMDB0000107	0.014827567	0.010222078	0.012832234	0.0192696	0.008135798	0.0005838	0.005810959	0.010134348
HMDB0000112	1.229043293	1.09388961	0.900809614	0.6872936	0.995447665	1.2042884	1.612663014	0.670139106
HMDB0000115	0.055018316	0.021464935	0.064653346	0.060172	0.047984047	0.0272482	0.020213699	0.037636156
HMDB0000118	0.001012766	0.000398701	0.000472385	0.0024542	0.000475292	0.0005726	0.000745205	0.00172236
HMDB0000121	0.000957077	0.001418182	0.000477663	0.0012096	0.001337354	0.0014266	0.000868493	0.001065652
