name	Bcoccoides	Csporogenes	Prussellii	mates_count	reads_count
ERR12268000	293223	25355	28580	24685298	49370596
ERR12268027	18312	11727	9785	7592476	15184952
ERR12268029	25154	9041	8202	7105433	14210866
ERR12268032	24359	8255	7518	6109173	12218346
ERR12268034	24778	10777	7532	8461679	16923358
ERR12268037	14048	7863	6389	7328120	14656240
ERR12268040	31715	16315	14351	11756247	23512494
ERR12268044	66658	14261	11417	10274758	20549516
ERR12268050	76755	17284	11305	11392912	22785824
ERR12268053	26641	15044	10771	11314864	22629728
ERR12268056	46344	12061	9501	9491908	18983816
ERR12268058	45477	12609	9103	10375553	20751106
ERR12268104	63693	13490	10373	9995924	19991848
ERR12268148	45360	20500	14243	9747789	19495578
ERR12268152	43961	16335	12576	7921302	15842604
ERR12268173	37535	15083	10097	10060111	20120222
ERR12268298	27555	13620	8589	9191861	18383722
ERR12268310	67740	14270	10817	12696328	25392656
ERR12268318	30765	15730	9431	9104967	18209934
ERR12268323	29915	14251	12054	7832541	15665082
ERR12268325	33804	12778	9831	9054910	18109820
ERR12268690	16049	10476	8417	9078408	18156816
ERR12302069	26891	10042	9496	7004039	14008078
ERR12302187	54964	12240	20836	10516984	21033968
ERR12302188	291615	45817	43128	11077819	22155638
ERR12302190	306239	53709	43043	9923863	19847726
ERR12302192	189910	12930	23048	9306930	18613860
ERR12302193	62572	20044	16450	12157333	24314666
ERR12302194	66805	13659	11584	10971876	21943752
ERR12302196	47004	16923	14817	9071629	18143258
ERR12302197	28107	10659	7967	7854276	15708552
ERR12302198	127450	19910	16273	9862343	19724686
ERR12302201	94364	7125	9879	9817900	19635800
ERR12302203	96846	19467	16620	9244276	18488552
ERR12302205	224986	12678	53484	10543613	21087226
ERR12304080	108272	14000	48526	7983244	15966488
ERR12304086	134030	10312	10360	10366692	20733384
ERR12304091	35245	13734	13882	10972906	21945812
ERR12304098	29730	7337	7586	10236623	20473246
ERR12304102	77504	22748	23033	11223394	22446788
ERR12304108	202764	24507	34666	29908607	59817214
ERR12304114	182798	31227	30701	30357309	60714618
ERR12304120	50477	26755	25030	25642146	51284292
ERR12304125	57275	40344	29292	35419572	70839144
ERR12304133	326705	33771	41002	38813055	77626110
ERR12304139	178924	29883	25475	30006364	60012728
ERR12304147	344414	58805	69513	34040942	68081884
ERR12304159	530047	52139	54781	53168702	106337404
ERR12304167	315170	37455	49319	34373390	68746780
ERR12304176	249837	44691	35653	36361799	72723598
ERR12304185	307830	32455	41680	40298527	80597054
ERR12304190	563084	40876	48207	25386021	50772042
ERR12304196	288055	30900	48604	29643634	59287268
ERR12304200	284086	69078	75489	29457606	58915212
ERR12304201	211564	25521	27794	23852490	47704980
ERR12304203	329487	29421	39096	25926914	51853828
ERR12304207	652775	60849	217691	31997361	63994722
ERR12304208	355346	29663	35391	30836689	61673378
ERR12304210	355154	60612	69128	25396092	50792184
