project_ID	sample
HallAB_2017.PRJNA385949	SRR5650021
HallAB_2017.PRJNA385949	SRR5650022
HallAB_2017.PRJNA385949	SRR5650023
HallAB_2017.PRJNA385949	SRR5650024
HallAB_2017.PRJNA385949	SRR5650025
HallAB_2017.PRJNA385949	SRR5650026
HallAB_2017.PRJNA385949	SRR5650027
HallAB_2017.PRJNA385949	SRR5650028
HallAB_2017.PRJNA385949	SRR5650029
HallAB_2017.PRJNA385949	SRR5650030
HallAB_2017.PRJNA385949	SRR5650031
HallAB_2017.PRJNA385949	SRR5650032
HallAB_2017.PRJNA385949	SRR5650033
HallAB_2017.PRJNA385949	SRR5650034
HallAB_2017.PRJNA385949	SRR5650035
HallAB_2017.PRJNA385949	SRR5650036
HallAB_2017.PRJNA385949	SRR5650037
HallAB_2017.PRJNA385949	SRR5650038
HallAB_2017.PRJNA385949	SRR5650039
HallAB_2017.PRJNA385949	SRR5650040
HallAB_2017.PRJNA385949	SRR5650041
HallAB_2017.PRJNA385949	SRR5650042
HallAB_2017.PRJNA385949	SRR5650043
HallAB_2017.PRJNA385949	SRR5650044
HallAB_2017.PRJNA385949	SRR5650045
HallAB_2017.PRJNA385949	SRR5650046
HallAB_2017.PRJNA385949	SRR5650047
HallAB_2017.PRJNA385949	SRR5650048
HallAB_2017.PRJNA385949	SRR5650049
HallAB_2017.PRJNA385949	SRR5650050
HallAB_2017.PRJNA385949	SRR5650051
HallAB_2017.PRJNA385949	SRR5650052
HallAB_2017.PRJNA385949	SRR5650053
HallAB_2017.PRJNA385949	SRR5650054
HallAB_2017.PRJNA385949	SRR5650055
HallAB_2017.PRJNA385949	SRR5650056
HallAB_2017.PRJNA385949	SRR5650057
HallAB_2017.PRJNA385949	SRR5650058
HallAB_2017.PRJNA385949	SRR5650059
HallAB_2017.PRJNA385949	SRR5650060
HallAB_2017.PRJNA385949	SRR5650061
HallAB_2017.PRJNA385949	SRR5650062
HallAB_2017.PRJNA385949	SRR5650063
HallAB_2017.PRJNA385949	SRR5650064
HallAB_2017.PRJNA385949	SRR5650065
HallAB_2017.PRJNA385949	SRR5650066
HallAB_2017.PRJNA385949	SRR5650067
HallAB_2017.PRJNA385949	SRR5650068
HallAB_2017.PRJNA385949	SRR5650069
HallAB_2017.PRJNA385949	SRR5650070
HallAB_2017.PRJNA385949	SRR5650071
HallAB_2017.PRJNA385949	SRR5650072
HallAB_2017.PRJNA385949	SRR5650073
HallAB_2017.PRJNA385949	SRR5650074
HallAB_2017.PRJNA385949	SRR5650075
HallAB_2017.PRJNA385949	SRR5650076
HallAB_2017.PRJNA385949	SRR5650077
HallAB_2017.PRJNA385949	SRR5650078
HallAB_2017.PRJNA385949	SRR5650079
HallAB_2017.PRJNA385949	SRR5650080
HallAB_2017.PRJNA385949	SRR5650081
HallAB_2017.PRJNA385949	SRR5650082
HallAB_2017.PRJNA385949	SRR5650083
HallAB_2017.PRJNA385949	SRR5650084
HallAB_2017.PRJNA385949	SRR5650085
HallAB_2017.PRJNA385949	SRR5650086
HallAB_2017.PRJNA385949	SRR5650087
HallAB_2017.PRJNA385949	SRR5650088
HallAB_2017.PRJNA385949	SRR5650089
HallAB_2017.PRJNA385949	SRR5650090
HallAB_2017.PRJNA385949	SRR5650091
HallAB_2017.PRJNA385949	SRR5650092
HallAB_2017.PRJNA385949	SRR5650093
HallAB_2017.PRJNA385949	SRR5650094
HallAB_2017.PRJNA385949	SRR5650095
HallAB_2017.PRJNA385949	SRR5650096
HallAB_2017.PRJNA385949	SRR5650097
HallAB_2017.PRJNA385949	SRR5650098
HallAB_2017.PRJNA385949	SRR5650099
HallAB_2017.PRJNA385949	SRR5650100
HallAB_2017.PRJNA385949	SRR5650101
HallAB_2017.PRJNA385949	SRR5650102
HallAB_2017.PRJNA385949	SRR5650103
HallAB_2017.PRJNA385949	SRR5650104
HallAB_2017.PRJNA385949	SRR5650105
HallAB_2017.PRJNA385949	SRR5650106
HallAB_2017.PRJNA385949	SRR5650107
HallAB_2017.PRJNA385949	SRR5650108
HallAB_2017.PRJNA385949	SRR5650109
HallAB_2017.PRJNA385949	SRR5650110
HallAB_2017.PRJNA385949	SRR5650111
HallAB_2017.PRJNA385949	SRR5650112
HallAB_2017.PRJNA385949	SRR5650113
HallAB_2017.PRJNA385949	SRR5650114
HallAB_2017.PRJNA385949	SRR5650115
HallAB_2017.PRJNA385949	SRR5650116
HallAB_2017.PRJNA385949	SRR5650117
HallAB_2017.PRJNA385949	SRR5650118
HallAB_2017.PRJNA385949	SRR5650119
HallAB_2017.PRJNA385949	SRR5650120
HallAB_2017.PRJNA385949	SRR5650121
HallAB_2017.PRJNA385949	SRR5650122
HallAB_2017.PRJNA385949	SRR5650123
HallAB_2017.PRJNA385949	SRR5650124
HallAB_2017.PRJNA385949	SRR5650125
HallAB_2017.PRJNA385949	SRR5650126
HallAB_2017.PRJNA385949	SRR5650127
HallAB_2017.PRJNA385949	SRR5650128
HallAB_2017.PRJNA385949	SRR5650129
HallAB_2017.PRJNA385949	SRR5650130
HallAB_2017.PRJNA385949	SRR5650131
HallAB_2017.PRJNA385949	SRR5650132
HallAB_2017.PRJNA385949	SRR5650133
HallAB_2017.PRJNA385949	SRR5650134
HallAB_2017.PRJNA385949	SRR5650135
HallAB_2017.PRJNA385949	SRR5650136
HallAB_2017.PRJNA385949	SRR5650137
HallAB_2017.PRJNA385949	SRR5650138
HallAB_2017.PRJNA385949	SRR5650139
HallAB_2017.PRJNA385949	SRR5650140
HallAB_2017.PRJNA385949	SRR5650141
HallAB_2017.PRJNA385949	SRR5650142
HallAB_2017.PRJNA385949	SRR5650143
HallAB_2017.PRJNA385949	SRR5650144
HallAB_2017.PRJNA385949	SRR5650145
HallAB_2017.PRJNA385949	SRR5650146
HallAB_2017.PRJNA385949	SRR5650147
HallAB_2017.PRJNA385949	SRR5650148
HallAB_2017.PRJNA385949	SRR5650149
HallAB_2017.PRJNA385949	SRR5650150
HallAB_2017.PRJNA385949	SRR5650151
HallAB_2017.PRJNA385949	SRR5650152
HallAB_2017.PRJNA385949	SRR5650153
HallAB_2017.PRJNA385949	SRR5650154
HallAB_2017.PRJNA385949	SRR5650155
HallAB_2017.PRJNA385949	SRR5650156
HallAB_2017.PRJNA385949	SRR5650157
HallAB_2017.PRJNA385949	SRR5650158
HallAB_2017.PRJNA385949	SRR5650159
HallAB_2017.PRJNA385949	SRR5650160
HallAB_2017.PRJNA385949	SRR5650161
HallAB_2017.PRJNA385949	SRR5650162
HallAB_2017.PRJNA385949	SRR5650163
HallAB_2017.PRJNA385949	SRR5650164
HallAB_2017.PRJNA385949	SRR5650165
HallAB_2017.PRJNA385949	SRR5650166
HallAB_2017.PRJNA385949	SRR5650167
HallAB_2017.PRJNA385949	SRR5650168
HallAB_2017.PRJNA385949	SRR5650169
HallAB_2017.PRJNA385949	SRR5650171
HallAB_2017.PRJNA385949	SRR5650172
HallAB_2017.PRJNA385949	SRR5650173
HallAB_2017.PRJNA385949	SRR5650174
HallAB_2017.PRJNA385949	SRR5650175
HallAB_2017.PRJNA385949	SRR5650176
HallAB_2017.PRJNA385949	SRR5650177
HallAB_2017.PRJNA385949	SRR5650178
HallAB_2017.PRJNA385949	SRR5650179
HallAB_2017.PRJNA385949	SRR5650180
HallAB_2017.PRJNA385949	SRR5650181
HallAB_2017.PRJNA385949	SRR5650182
HallAB_2017.PRJNA385949	SRR5650183
HallAB_2017.PRJNA385949	SRR5650184
HallAB_2017.PRJNA385949	SRR5650185
HallAB_2017.PRJNA385949	SRR5650186
HallAB_2017.PRJNA385949	SRR5650187
HallAB_2017.PRJNA385949	SRR5650188
HallAB_2017.PRJNA385949	SRR5650189
HallAB_2017.PRJNA385949	SRR5650190
LloydPriceJ_2019.PRJNA398089	SRR5935740
LloydPriceJ_2019.PRJNA398089	SRR5935741
LloydPriceJ_2019.PRJNA398089	SRR5935744
LloydPriceJ_2019.PRJNA398089	SRR5935745
LloydPriceJ_2019.PRJNA398089	SRR5935746
LloydPriceJ_2019.PRJNA398089	SRR5935750
LloydPriceJ_2019.PRJNA398089	SRR5935751
LloydPriceJ_2019.PRJNA398089	SRR5935753
LloydPriceJ_2019.PRJNA398089	SRR5935754
LloydPriceJ_2019.PRJNA398089	SRR5935755
LloydPriceJ_2019.PRJNA398089	SRR5935761
LloydPriceJ_2019.PRJNA398089	SRR5935762
LloydPriceJ_2019.PRJNA398089	SRR5935766
LloydPriceJ_2019.PRJNA398089	SRR5935767
LloydPriceJ_2019.PRJNA398089	SRR5935768
LloydPriceJ_2019.PRJNA398089	SRR5935769
LloydPriceJ_2019.PRJNA398089	SRR5935770
LloydPriceJ_2019.PRJNA398089	SRR5935773
LloydPriceJ_2019.PRJNA398089	SRR5935774
LloydPriceJ_2019.PRJNA398089	SRR5935775
LloydPriceJ_2019.PRJNA398089	SRR5935777
LloydPriceJ_2019.PRJNA398089	SRR5935778
LloydPriceJ_2019.PRJNA398089	SRR5935781
LloydPriceJ_2019.PRJNA398089	SRR5935785
LloydPriceJ_2019.PRJNA398089	SRR5935786
LloydPriceJ_2019.PRJNA398089	SRR5935787
LloydPriceJ_2019.PRJNA398089	SRR5935788
LloydPriceJ_2019.PRJNA398089	SRR5935790
LloydPriceJ_2019.PRJNA398089	SRR5935791
LloydPriceJ_2019.PRJNA398089	SRR5935792
LloydPriceJ_2019.PRJNA398089	SRR5935796
LloydPriceJ_2019.PRJNA398089	SRR5935798
LloydPriceJ_2019.PRJNA398089	SRR5935800
LloydPriceJ_2019.PRJNA398089	SRR5935801
LloydPriceJ_2019.PRJNA398089	SRR5935802
LloydPriceJ_2019.PRJNA398089	SRR5935803
LloydPriceJ_2019.PRJNA398089	SRR5935807
LloydPriceJ_2019.PRJNA398089	SRR5935812
LloydPriceJ_2019.PRJNA398089	SRR5935814
LloydPriceJ_2019.PRJNA398089	SRR5935816
LloydPriceJ_2019.PRJNA398089	SRR5935818
LloydPriceJ_2019.PRJNA398089	SRR5935822
LloydPriceJ_2019.PRJNA398089	SRR5935825
LloydPriceJ_2019.PRJNA398089	SRR5935826
LloydPriceJ_2019.PRJNA398089	SRR5935827
LloydPriceJ_2019.PRJNA398089	SRR5935832
LloydPriceJ_2019.PRJNA398089	SRR5935833
LloydPriceJ_2019.PRJNA398089	SRR5935834
LloydPriceJ_2019.PRJNA398089	SRR5935836
LloydPriceJ_2019.PRJNA398089	SRR5935840
LloydPriceJ_2019.PRJNA398089	SRR5935842
LloydPriceJ_2019.PRJNA398089	SRR5935845
LloydPriceJ_2019.PRJNA398089	SRR5935849
LloydPriceJ_2019.PRJNA398089	SRR5935852
LloydPriceJ_2019.PRJNA398089	SRR5935853
LloydPriceJ_2019.PRJNA398089	SRR5935854
LloydPriceJ_2019.PRJNA398089	SRR5935855
LloydPriceJ_2019.PRJNA398089	SRR5935857
LloydPriceJ_2019.PRJNA398089	SRR5935858
LloydPriceJ_2019.PRJNA398089	SRR5935859
LloydPriceJ_2019.PRJNA398089	SRR5935860
LloydPriceJ_2019.PRJNA398089	SRR5935861
LloydPriceJ_2019.PRJNA398089	SRR5935863
LloydPriceJ_2019.PRJNA398089	SRR5935864
LloydPriceJ_2019.PRJNA398089	SRR5935866
LloydPriceJ_2019.PRJNA398089	SRR5935867
LloydPriceJ_2019.PRJNA398089	SRR5935869
LloydPriceJ_2019.PRJNA398089	SRR5935870
LloydPriceJ_2019.PRJNA398089	SRR5935871
LloydPriceJ_2019.PRJNA398089	SRR5935872
LloydPriceJ_2019.PRJNA398089	SRR5935873
LloydPriceJ_2019.PRJNA398089	SRR5935875
