module	ID
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00267
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00668
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00085
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00354
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00111
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00118
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00236
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00197
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00631
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00074
"M00001:Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	C00022
"M00002:Glycolysis, core module involving three-carbon compounds"	C00111
"M00002:Glycolysis, core module involving three-carbon compounds"	C00118
"M00002:Glycolysis, core module involving three-carbon compounds"	C00236
"M00002:Glycolysis, core module involving three-carbon compounds"	C00197
"M00002:Glycolysis, core module involving three-carbon compounds"	C00631
"M00002:Glycolysis, core module involving three-carbon compounds"	C00074
"M00002:Glycolysis, core module involving three-carbon compounds"	C00022
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00036
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00074
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00631
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00197
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00236
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00118
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00111
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00354
"M00003:Gluconeogenesis, oxaloacetate => fructose-6P"	C00085
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C01172
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C01236
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00345
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00199
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00231
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00117
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C05382
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00118
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00279
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00085
M00004:Pentose phosphate pathway (Pentose phosphate cycle)	C00668
"M00005:PRPP biosynthesis, ribose 5P => PRPP"	C00117
"M00005:PRPP biosynthesis, ribose 5P => PRPP"	C00119
"M00006:Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	C01172
"M00006:Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	C01236
"M00006:Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	C00345
"M00006:Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	C00199
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00085
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00118
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00279
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00231
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C05382
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00117
"M00007:Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	C00199
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C01172
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C01236
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C00345
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C04442
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C00118
"M00008:Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	C00022
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00024
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00036
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00158
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00311
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00026
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C15972
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C16254
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00091
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C15973
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00042
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00122
"M00009:Citrate cycle (TCA cycle, Krebs cycle)"	C00149
"M00010:Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	C00036
"M00010:Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	C00024
"M00010:Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	C00158
"M00010:Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	C00311
"M00010:Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	C00026
"M00011:Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"	C00026
